url,title,h1,primary_intent,cluster,indexable,canonical,status
https://atelierdeconsultanta.ro/,Consultanță și proiectare fonduri europene | FABER,Consultanță și proiectare pentru proiecte cu fonduri europene,consultanta si proiectare pentru proiecte cu fonduri europene,brand-home,true,https://atelierdeconsultanta.ro/,200
https://atelierdeconsultanta.ro/apeluri-gal,Apeluri GAL / LEADER | ghid FABER,Apeluri GAL: ce sunt și cum se verifică,apeluri gal ce sunt si cum se verifica,gal-leader,true,https://atelierdeconsultanta.ro/apeluri-gal,200
https://atelierdeconsultanta.ro/consultanta-fonduri-europene,Consultanță fonduri europene pentru proiecte | FABER,Consultanță pentru accesarea fondurilor europene,consultanta pentru accesarea fondurilor europene,servicii,true,https://atelierdeconsultanta.ro/consultanta-fonduri-europene,200
https://atelierdeconsultanta.ro/digitalizare-imm,Digitalizare IMM | ghid digitalizare,"Digitalizare IMM: hub pentru proiecte, buget IT și consultanță",digitalizare imm hub pentru proiecte buget it si consultanta,digitalizare-pnrr,true,https://atelierdeconsultanta.ro/digitalizare-imm,200
https://atelierdeconsultanta.ro/dr12-afir,DR12 AFIR | consolidarea exploatatiilor tinerilor fermieri,DR12 AFIR: consolidarea exploatatiilor tinerilor fermieri,dr12 afir consolidarea exploatatiilor tinerilor fermieri,afir-agricultura,true,https://atelierdeconsultanta.ro/dr12-afir,200
https://atelierdeconsultanta.ro/dr14,DR 14 AFIR | ghid AFIR,DR14 AFIR: investiții pentru ferme mici,dr14 afir investitii pentru ferme mici,afir-agricultura,true,https://atelierdeconsultanta.ro/dr14,200
https://atelierdeconsultanta.ro/e-move,e-MOVE RO | ghid FABER,"e-MOVE RO: statii de încărcare, energie regenerabilă și stocare",e move ro statii de incarcare energie regenerabila si stocare,energie,true,https://atelierdeconsultanta.ro/e-move,200
https://atelierdeconsultanta.ro/fonduri-europene,Fonduri europene 2026: programe și eligibilitate | FABER,"Fonduri europene pentru firme, fermieri și instituții",fonduri europene pentru firme fermieri si institutii,fonduri-europene-editorial,true,https://atelierdeconsultanta.ro/fonduri-europene,200
https://atelierdeconsultanta.ro/investitii-modernizarea-microintreprinderilor-apel-2,Modernizarea microîntreprinderilor – Apel 2 Nord-Est: ghid practic,Modernizarea microîntreprinderilor – Apel 2 Nord-Est: Ghid practic pentru antreprenori,modernizarea microintreprinderilor apel 2 nord est ghid practic pentru antreprenori,energie,true,https://atelierdeconsultanta.ro/investitii-modernizarea-microintreprinderilor-apel-2,200
https://atelierdeconsultanta.ro/management-proiecte-fonduri-europene,Management proiecte cu fonduri europene | FABER,Managementul proiectelor finanțate din fonduri europene,managementul proiectelor finantate din fonduri europene,servicii,true,https://atelierdeconsultanta.ro/management-proiecte-fonduri-europene,200
https://atelierdeconsultanta.ro/plan-de-afaceri-fonduri-europene,Plan de afaceri pentru fonduri europene | FABER,Plan de afaceri pentru proiecte finanțate,plan de afaceri pentru proiecte finantate,servicii,true,https://atelierdeconsultanta.ro/plan-de-afaceri-fonduri-europene,200
https://atelierdeconsultanta.ro/pocidif-21,PoCIDIF 2.1 | inovare digitală IMM TIC,PoCIDIF 2.1 – Granturi pentru inovare digitală în IMM‑urile TIC,pocidif 2 1 granturi pentru inovare digitala in imm urile tic,digitalizare-pnrr,true,https://atelierdeconsultanta.ro/pocidif-21,200
https://atelierdeconsultanta.ro/pro-infra,PRO INFRA 2026 | ghid FABER,PRO INFRA: producție pentru infrastructura de transport,pro infra productie pentru infrastructura de transport,energie,true,https://atelierdeconsultanta.ro/pro-infra,200
https://atelierdeconsultanta.ro/programul-tranzitie-justa,"Programul Tranziție Justă | verificare eligibilitate, regiuni și pași","Programul Tranziție Justă: verificare eligibilitate, regiuni și pași",programul tranzitie justa verificare eligibilitate regiuni si pasi,fonduri-europene-editorial,true,https://atelierdeconsultanta.ro/programul-tranzitie-justa,200
https://atelierdeconsultanta.ro/programul-tranzitie-justa-intrebari-documente,Programul Tranziție Justă: întrebări și documente pentru verificare,Programul Tranziție Justă: întrebări și documente pentru verificare,programul tranzitie justa intrebari si documente pentru verificare,fonduri-europene-editorial,true,https://atelierdeconsultanta.ro/programul-tranzitie-justa-intrebari-documente,200
https://atelierdeconsultanta.ro/proiectare-fonduri-europene,"Proiectare fonduri europene: SF, DALI și planuri | FABER",Proiectare pentru investiții finanțate din fonduri europene,proiectare pentru investitii finantate din fonduri europene,servicii,true,https://atelierdeconsultanta.ro/proiectare-fonduri-europene,200
https://atelierdeconsultanta.ro/start-up-nation-2026,Start-Up Nation 2026 | ghid Start-Up Nation,Start-Up Nation 2026: ghid central pentru pregătirea dosarului,start up nation ghid central pentru pregatirea dosarului,start-up-nation,true,https://atelierdeconsultanta.ro/start-up-nation-2026,200
https://atelierdeconsultanta.ro/studiu-fezabilitate-fonduri-europene,Studiu de fezabilitate pentru fonduri europene | FABER,Studiu de fezabilitate pentru proiecte cu fonduri europene,studiu de fezabilitate pentru proiecte cu fonduri europene,servicii,true,https://atelierdeconsultanta.ro/studiu-fezabilitate-fonduri-europene,200
https://atelierdeconsultanta.ro/blog,"Blog fonduri europene, AFIR și granturi IMM | FABER","Blog despre fonduri europene, finanțări nerambursabile și programe pentru beneficiari reali",blog despre fonduri europene finantari nerambursabile si programe pentru beneficiari reali,fonduri-europene-editorial,true,https://atelierdeconsultanta.ro/blog,200
https://atelierdeconsultanta.ro/despre-faber,Despre FABER | Atelier de Consultanță,Despre FABER - Atelier de Consultanță,despre,incredere-resurse,true,https://atelierdeconsultanta.ro/despre-faber,200
https://atelierdeconsultanta.ro/glosar-fonduri-europene,Glosar fonduri europene: termeni explicati simplu,Glosar fonduri europene: termeni explicati simplu,glosar fonduri europene termeni explicati simplu,incredere-resurse,true,https://atelierdeconsultanta.ro/glosar-fonduri-europene,200
https://atelierdeconsultanta.ro/metodologie-verificare-eligibilitate,Metodologia FABER pentru verificarea eligibilitatii la fonduri europene,Metodologia FABER pentru verificarea eligibilitatii la fonduri europene,metodologia pentru verificarea eligibilitatii la fonduri europene,servicii,true,https://atelierdeconsultanta.ro/metodologie-verificare-eligibilitate,200
https://atelierdeconsultanta.ro/studii-de-caz-fonduri-europene,Studii de caz anonimizate: proiecte pregătite pentru fonduri europene,Studii de caz anonimizate: proiecte pregătite pentru fonduri europene,studii de caz anonimizate proiecte pregatite pentru fonduri europene,incredere-resurse,true,https://atelierdeconsultanta.ro/studii-de-caz-fonduri-europene,200
https://atelierdeconsultanta.ro/surse-oficiale-fonduri-europene,Surse oficiale pentru fonduri europene și finanțări nerambursabile,Surse oficiale pentru fonduri europene și finanțări nerambursabile,surse oficiale pentru fonduri europene si finantari nerambursabile,incredere-resurse,true,https://atelierdeconsultanta.ro/surse-oficiale-fonduri-europene,200
https://atelierdeconsultanta.ro/acte-necesare-fonduri-europene-nerambursabile,acte necesare fonduri europene | ghid FABER,Acte necesare pentru fonduri europene nerambursabile,acte necesare pentru fonduri europene nerambursabile,fonduri-europene-editorial,true,https://atelierdeconsultanta.ro/acte-necesare-fonduri-europene-nerambursabile,200
https://atelierdeconsultanta.ro/afir,"AFIR | calculator SO, DR12, DR14 și GAL","AFIR: calculator SO, programe și verificare dosar",afir calculator so programe si verificare dosar,afir-agricultura,true,https://atelierdeconsultanta.ro/afir,200
https://atelierdeconsultanta.ro/afir-autoconsum-agroalimentar,AFIR autoconsum agroalimentar | panouri fotovoltaice și fonduri AFIR,AFIR Autoconsum Agroalimentar – energie regenerabilă pentru ferme și procesatori,afir autoconsum agroalimentar energie regenerabila pentru ferme si procesatori,afir-agricultura,true,https://atelierdeconsultanta.ro/afir-autoconsum-agroalimentar,200
https://atelierdeconsultanta.ro/autoconsum-public-fotovoltaice-institutii-publice,Autoconsum public fotovoltaice | ghid energie,Autoconsum public fotovoltaice pentru instituții publice,autoconsum public fotovoltaice pentru institutii publice,energie,true,https://atelierdeconsultanta.ro/autoconsum-public-fotovoltaice-institutii-publice,200
https://atelierdeconsultanta.ro/blog-afir-fotovoltaice-ferme-2026,AFIR fotovoltaice ferme | autoconsum,AFIR fotovoltaice pentru ferme: autoconsum și verificări,afir fotovoltaice pentru ferme autoconsum si verificari,afir-agricultura,true,https://atelierdeconsultanta.ro/blog-afir-fotovoltaice-ferme-2026,200
https://atelierdeconsultanta.ro/calculator-soc,calculator SO AFIR | ghid AFIR,Calculator SO/SOC pentru AFIR DR12 și DR14,calculator so soc pentru afir dr12 si dr14,afir-agricultura,true,https://atelierdeconsultanta.ro/calculator-soc,200
https://atelierdeconsultanta.ro/calendar-fonduri-europene,Calendar fonduri europene | pregătire,Calendar fonduri europene: pregătire fără grabă,calendar fonduri europene pregatire fara graba,fonduri-europene-editorial,true,https://atelierdeconsultanta.ro/calendar-fonduri-europene,200
https://atelierdeconsultanta.ro/cand-merita-consultant-fonduri-europene,când merita consultant fonduri europene | consultanță fonduri,Când merită să lucrezi cu un consultant pentru fonduri europene,cand merita sa lucrezi cu un consultant pentru fonduri europene,servicii,true,https://atelierdeconsultanta.ro/cand-merita-consultant-fonduri-europene,200
https://atelierdeconsultanta.ro/cat-costa-consultanta-fonduri-europene,Cât costa consultanță fonduri europene - factori și etape,Cât costa consultanță pentru fonduri europene,cat costa consultanta pentru fonduri europene,servicii,true,https://atelierdeconsultanta.ro/cat-costa-consultanta-fonduri-europene,200
https://atelierdeconsultanta.ro/cat-costa-consultanta-fonduri-europene-ghid,cât costa consultanță fonduri europene | consultanță fonduri,Ghid: cât costă consultanța pentru fonduri europene,ghid cat costa consultanta pentru fonduri europene,servicii,true,https://atelierdeconsultanta.ro/cat-costa-consultanta-fonduri-europene-ghid,200
https://atelierdeconsultanta.ro/ce-acte-sunt-necesare-fonduri-europene,Checklist acte fonduri europene 2026 | ghid dosar,Ce acte sunt necesare pentru fonduri europene?,ce acte sunt necesare pentru fonduri europene,fonduri-europene-editorial,true,https://atelierdeconsultanta.ro/ce-acte-sunt-necesare-fonduri-europene,200
https://atelierdeconsultanta.ro/cheltuieli-eligibile-digitalizare-imm,cheltuieli eligibile digitalizare IMM | ghid digitalizare,"Ce poți cumpăra prin Digitalizare IMM: software, hardware, securitate și servicii",ce poti cumpara prin digitalizare imm software hardware securitate si servicii,digitalizare-pnrr,true,https://atelierdeconsultanta.ro/cheltuieli-eligibile-digitalizare-imm,200
https://atelierdeconsultanta.ro/cod-caen-start-up-nation-2026,cod CAEN Start-Up Nation | ghid Start-Up Nation,Cod CAEN Start Up Nation 2026: cum verifici activitatea eligibila,cod caen start up nation cum verifici activitatea eligibila,start-up-nation,true,https://atelierdeconsultanta.ro/cod-caen-start-up-nation-2026,200
https://atelierdeconsultanta.ro/consultant-fonduri-europene-imm,Consultant fonduri europene IMM - verificare și dosar,Consultant fonduri europene pentru IMM-uri,consultant fonduri europene pentru imm uri,servicii,true,https://atelierdeconsultanta.ro/consultant-fonduri-europene-imm,200
https://atelierdeconsultanta.ro/consultanta-afir,"Consultanță AFIR - DR12, DR14 și proiecte agricole",Consultanță AFIR,consultanta afir,servicii,true,https://atelierdeconsultanta.ro/consultanta-afir,200
https://atelierdeconsultanta.ro/consultanta-fonduri-europene-bucuresti,Consultanță fonduri europene București,Consultanță fonduri europene București,consultanta fonduri europene bucuresti,servicii,true,https://atelierdeconsultanta.ro/consultanta-fonduri-europene-bucuresti,200
https://atelierdeconsultanta.ro/consultanta-pnrr-digitalizare,Consultanță PNRR Digitalizare | verificare proiect IMM,Consultanță PNRR digitalizare,consultanta pnrr digitalizare,servicii,true,https://atelierdeconsultanta.ro/consultanta-pnrr-digitalizare,200
https://atelierdeconsultanta.ro/consultanta-start-up-nation-2026,Consultanță Start-Up Nation 2026 | verificare dosar,"Consultanță Start-Up Nation 2026: CAEN, plan și dosar",consultanta start up nation caen plan si dosar,servicii,true,https://atelierdeconsultanta.ro/consultanta-start-up-nation-2026,200
https://atelierdeconsultanta.ro/contact,Contact FABER | verificare eligibilitate,Contact FABER,contact,fonduri-europene-editorial,true,https://atelierdeconsultanta.ro/contact,200
https://atelierdeconsultanta.ro/cum-alegi-consultant-fonduri-europene,Cum alegi consultant fonduri europene - criterii utile,Cum alegi un consultant pentru fonduri europene,cum alegi un consultant pentru fonduri europene,servicii,true,https://atelierdeconsultanta.ro/cum-alegi-consultant-fonduri-europene,200
https://atelierdeconsultanta.ro/cum-alegi-programul-potrivit-fonduri-europene-2026,fonduri europene 2026 | ghid FABER,Cum alegi programul potrivit de fonduri europene în 2026,cum alegi programul potrivit de fonduri europene in,fonduri-europene-editorial,true,https://atelierdeconsultanta.ro/cum-alegi-programul-potrivit-fonduri-europene-2026,200
https://atelierdeconsultanta.ro/cum-se-calculeaza-cofinantarea-fonduri-europene,cofinanțare fonduri europene | ghid FABER,Cum se calculează cofinanțarea la fonduri europene,cum se calculeaza cofinantarea la fonduri europene,fonduri-europene-editorial,true,https://atelierdeconsultanta.ro/cum-se-calculeaza-cofinantarea-fonduri-europene,200
https://atelierdeconsultanta.ro/cum-se-verifica-eligibilitatea-fonduri-europene,verificare eligibilitate fonduri europene | ghid FABER,Cum se verifică eligibilitatea pentru fonduri europene,cum se verifica eligibilitatea pentru fonduri europene,servicii,true,https://atelierdeconsultanta.ro/cum-se-verifica-eligibilitatea-fonduri-europene,200
